fecha,nombre_festivo,alcance
2026-01-01,Año Nuevo,nacional
2026-04-02,Jueves Santo,nacional
2026-04-03,Viernes Santo,nacional
2026-04-04,Sábado Santo,nacional
2026-05-01,Día del Trabajo,nacional
2026-06-30,Día del Ejército,nacional
2026-08-15,Virgen de la Asunción,Ciudad de Guatemala
2026-09-15,Independencia,nacional
2026-10-20,Revolución de 1944,nacional
2026-11-01,Todos los Santos,nacional
2026-12-24,Nochebuena (medio día),nacional
2026-12-25,Navidad,nacional
2026-12-31,Fin de año (medio día),nacional
