zona_key,nombre_oficial,tipo_territorio,municipio,clave_normalizada
1,Zona 1,zona,Guatemala,Z1
2,Zona 2,zona,Guatemala,Z2
3,Zona 3,zona,Guatemala,Z3
4,Zona 4,zona,Guatemala,Z4
5,Zona 5,zona,Guatemala,Z5
6,Zona 6,zona,Guatemala,Z6
7,Zona 7,zona,Guatemala,Z7
8,Zona 8,zona,Guatemala,Z8
9,Zona 9,zona,Guatemala,Z9
10,Zona 10,zona,Guatemala,Z10
11,Zona 11,zona,Guatemala,Z11
12,Zona 12,zona,Guatemala,Z12
13,Zona 13,zona,Guatemala,Z13
14,Zona 14,zona,Guatemala,Z14
15,Zona 15,zona,Guatemala,Z15
16,Zona 16,zona,Guatemala,Z16
17,Zona 17,zona,Guatemala,Z17
18,Zona 18,zona,Guatemala,Z18
19,Zona 19,zona,Guatemala,Z19
21,Zona 21,zona,Guatemala,Z21
24,Zona 24,zona,Guatemala,Z24
25,Zona 25,zona,Guatemala,Z25
101,Mixco,municipio,Mixco,MIXCO
102,Villa Nueva,municipio,Villa Nueva,VILLA NUEVA
103,San Miguel Petapa,municipio,San Miguel Petapa,SAN MIGUEL PETAPA
104,Santa Catarina Pinula,municipio,Santa Catarina Pinula,SANTA CATARINA PINULA
