tarjeta,perfil,zona_residencia_origen,activa,fecha_baja,ultima_operacion,ultima_secuencia
TC-00000001,estudiante,Zona 11,true,,UPDATE,10641
TC-00000010,estudiante,Mixco,true,,INSERT,16080
TC-00000013,adulto_mayor,Zona 18,true,,UPDATE,27971
TC-00000020,estudiante,Zona 17,true,,UPDATE,17762
TC-00000023,general,Zona 11,true,,UPDATE,13481
TC-00000027,,,false,2026-06-03 08:46:00,DELETE,2028
TC-00000029,trabajador,Zona 13,true,,INSERT,3490
TC-00000030,adulto_mayor,Mixco,true,,UPDATE,30018
TC-00000035,estudiante,Zona 17,true,,INSERT,53
TC-00000038,,,false,2026-06-22 20:22:00,DELETE,15160
TC-00000041,general,Mixco,true,,UPDATE,25329
TC-00000043,estudiante,Zona 12,false,2026-07-09 22:22:00,DELETE,26823
TC-00000044,trabajador,Zona 8,false,2026-07-15 13:29:00,DELETE,30983
TC-00000045,general,Zona 13,true,,UPDATE,27979
TC-00000046,general,Zona 10,false,2026-07-14 10:40:00,DELETE,30343
TC-00000049,trabajador,Zona 12,true,,INSERT,3542
TC-00000054,,,false,2026-07-08 13:33:00,DELETE,26137
TC-00000059,adulto_mayor,Zona 4,true,,UPDATE,25403
TC-00000063,general,Mixco,true,,UPDATE,14948
TC-00000065,estudiante,Zona 4,true,,INSERT,903
TC-00000066,trabajador,Zona 9,true,,UPDATE,18408
TC-00000070,general,Zona 6,true,,UPDATE,7833
TC-00000071,,,false,2026-07-02 10:01:00,DELETE,22015
TC-00000076,adulto_mayor,Zona 12,true,,UPDATE,10141
TC-00000078,trabajador,Zona 18,true,,INSERT,25636
TC-00000082,trabajador,San Miguel Petapa,true,,INSERT,11222
TC-00000084,estudiante,Zona 4,true,,UPDATE,3888
TC-00000091,estudiante,Zona 7,true,,INSERT,26962
TC-00000098,,,false,2026-06-16 19:49:00,DELETE,10970
TC-00000099,general,Zona 7,true,,UPDATE,2649
TC-00000102,adulto_mayor,Villa Nueva,false,2026-06-25 01:56:00,DELETE,17187
TC-00000105,trabajador,Zona 1,true,,UPDATE,17784
TC-00000106,general,Zona 17,true,,UPDATE,8863
TC-00000107,adulto_mayor,Zona 17,true,,UPDATE,26526
TC-00000108,trabajador,Zona 9,true,,INSERT,11968
TC-00000112,adulto_mayor,Zona 12,true,,UPDATE,29278
TC-00000118,,,false,2026-06-23 02:01:00,DELETE,15820
TC-00000125,adulto_mayor,Zona 8,true,,UPDATE,18399
TC-00000128,general,Zona 7,true,,INSERT,24905
TC-00000129,trabajador,Zona 18,true,,UPDATE,12677
TC-00000133,general,Zona 6,false,2026-07-02 22:15:00,DELETE,22036
TC-00000135,estudiante,Zona 13,true,,UPDATE,28030
TC-00000137,estudiante,Zona 1,true,,UPDATE,23723
TC-00000138,trabajador,Zona 13,true,,UPDATE,10922
TC-00000149,trabajador,Zona 11,false,2026-06-12 18:39:00,DELETE,8207
TC-00000155,trabajador,Santa Catarina Pinula,true,,INSERT,10558
TC-00000159,,,false,2026-07-08 21:14:00,DELETE,26131
TC-00000165,estudiante,Zona 13,true,,INSERT,17483
TC-00000166,trabajador,Zona 10,true,,INSERT,20773
TC-00000167,trabajador,Zona 13,true,,INSERT,29835
TC-00000176,,,false,2026-07-06 13:08:00,DELETE,24833
TC-00000178,,,false,2026-06-24 00:22:00,DELETE,16551
TC-00000181,,,false,2026-06-13 23:36:00,DELETE,8966
TC-00000191,trabajador,Zona 6,false,2026-06-25 10:03:00,DELETE,17167
TC-00000193,adulto_mayor,Mixco,true,,UPDATE,22545
TC-00000196,estudiante,Mixco,true,,INSERT,30420
TC-00000201,,,false,2026-06-11 15:24:00,DELETE,7572
TC-00000202,adulto_mayor,Zona 6,true,,UPDATE,6729
TC-00000215,general,San Miguel Petapa,true,,INSERT,9180
TC-00000219,trabajador,Zona 12,true,,UPDATE,30797
TC-00000225,estudiante,San Miguel Petapa,true,,UPDATE,19090
TC-00000226,trabajador,Zona 9,true,,UPDATE,8531
TC-00000228,,,false,2026-07-08 16:21:00,DELETE,26217
TC-00000233,trabajador,Villa Nueva,true,,UPDATE,4494
TC-00000236,,,false,2026-06-13 11:56:00,DELETE,8894
TC-00000237,general,Villa Nueva,true,,UPDATE,26507
TC-00000239,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,9307
TC-00000240,general,Zona 12,true,,UPDATE,3907
TC-00000243,estudiante,Zona 12,true,,UPDATE,1640
TC-00000248,adulto_mayor,Zona 11,true,,UPDATE,9532
TC-00000249,adulto_mayor,Villa Nueva,true,,INSERT,20781
TC-00000252,estudiante,Santa Catarina Pinula,true,,UPDATE,14386
TC-00000254,trabajador,Zona 10,true,,INSERT,1551
TC-00000256,,,false,2026-06-09 05:33:00,DELETE,6143
TC-00000262,general,San Miguel Petapa,true,,UPDATE,25301
TC-00000264,estudiante,San Miguel Petapa,true,,UPDATE,9992
TC-00000265,trabajador,Zona 4,false,2026-06-11 18:14:00,DELETE,7519
TC-00000267,adulto_mayor,Zona 9,true,,UPDATE,1979
TC-00000269,trabajador,San Miguel Petapa,true,,UPDATE,20492
TC-00000270,trabajador,San Miguel Petapa,true,,INSERT,19439
TC-00000272,general,Zona 17,true,,UPDATE,25256
TC-00000277,trabajador,Zona 11,true,,INSERT,22276
TC-00000288,estudiante,Zona 9,true,,UPDATE,21057
TC-00000294,general,Zona 1,true,,INSERT,20921
TC-00000296,trabajador,Villa Nueva,true,,UPDATE,3075
TC-00000299,estudiante,Villa Nueva,true,,UPDATE,10667
TC-00000300,trabajador,Villa Nueva,true,,INSERT,27824
TC-00000302,trabajador,Zona 4,true,,UPDATE,30091
TC-00000303,adulto_mayor,Zona 7,true,,UPDATE,6738
TC-00000318,estudiante,Santa Catarina Pinula,true,,INSERT,15252
TC-00000326,adulto_mayor,Zona 7,true,,UPDATE,10080
TC-00000327,estudiante,Villa Nueva,true,,UPDATE,8087
TC-00000330,trabajador,Zona 17,true,,INSERT,27817
TC-00000332,trabajador,Zona 18,true,,INSERT,23607
TC-00000333,,,false,2026-06-23 15:20:00,DELETE,15854
TC-00000334,trabajador,Zona 4,true,,UPDATE,23710
TC-00000342,trabajador,Zona 8,true,,INSERT,27804
TC-00000347,general,San Miguel Petapa,true,,INSERT,1574
TC-00000356,general,Zona 4,true,,UPDATE,14352
TC-00000359,,,false,2026-07-10 21:03:00,DELETE,27594
