sistema,evento_id,motivo_rechazo,detalle,usuario_llave_origen,estacion_id,fecha_original,registro_crudo,archivo_origen,ingerido_en
CDC,1000,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-02 09:27:00,"{""secuencia"":1000,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-02 09:27:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 12"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10012,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 00:05:00,"{""secuencia"":10012,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 00:05:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 18"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10018,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 20:14:00,"{""secuencia"":10018,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 20:14:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Zona 12"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,1002,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-02 10:42:00,"{""secuencia"":1002,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-02 10:42:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""San Miguel Petapa"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10032,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 04:07:00,"{""secuencia"":10032,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 04:07:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 1"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10034,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 02:25:00,"{""secuencia"":10034,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 02:25:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""general"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10044,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 11:12:00,"{""secuencia"":10044,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 11:12:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Zona 7"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10077,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 02:11:00,"{""secuencia"":10077,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 02:11:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 18"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10081,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 01:48:00,"{""secuencia"":10081,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 01:48:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 8"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10105,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 07:33:00,"{""secuencia"":10105,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 07:33:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 12"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10118,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 23:28:00,"{""secuencia"":10118,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 23:28:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""San Miguel Petapa"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10125,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 16:20:00,"{""secuencia"":10125,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 16:20:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 7"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10137,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 11:16:00,"{""secuencia"":10137,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 11:16:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Santa Catarina Pinula"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10147,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 06:09:00,"{""secuencia"":10147,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 06:09:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""general"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10154,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 21:39:00,"{""secuencia"":10154,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 21:39:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 9"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10167,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 03:48:00,"{""secuencia"":10167,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 03:48:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 13"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10187,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 10:23:00,"{""secuencia"":10187,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 10:23:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""trabajador"",""zona_residencia_origen"":""Zona 1"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10202,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 02:27:00,"{""secuencia"":10202,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 02:27:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 6"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10211,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 02:14:00,"{""secuencia"":10211,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 02:14:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""general"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10219,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 12:58:00,"{""secuencia"":10219,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 12:58:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Zona 4"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10247,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 13:23:00,"{""secuencia"":10247,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 13:23:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""estudiante"",""zona_residencia_origen"":""Santa Catarina Pinula"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10258,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 16:54:00,"{""secuencia"":10258,""operacion"":""UPDATE"",""ts_operacion"":""2026-06-15 16:54:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 11"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10308,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-15 05:50:00,"{""secuencia"":10308,""operacion"":""DELETE"",""ts_operacion"":""2026-06-15 05:50:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":null,""zona_residencia_origen"":null,""estado"":null}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
CDC,10354,CDC_SIN_TARJETA,La operación no trae una tarjeta identificable (SIN-TARJETA),SIN-TARJETA,,2026-06-16 13:24:00,"{""secuencia"":10354,""operacion"":""INSERT"",""ts_operacion"":""2026-06-16 13:24:00"",""tarjeta"":""SIN-TARJETA"",""perfil"":""adulto_mayor"",""zona_residencia_origen"":""Zona 4"",""estado"":""ACTIVA""}",cdc_padron_usuarios.csv,2026-09-23 20:31:32.851946
