capa,tabla,filas_corrida_1,filas_corrida_2,identico
bronze,aerometro_boardings,203554,203554,True
bronze,am_estaciones,14,14,True
bronze,cdc_padron_usuarios,31050,31050,True
bronze,metroriel_viajes,299100,299100,True
bronze,mr_estaciones,22,22,True
bronze,tm_estaciones,104,104,True
bronze,transmetro_validaciones,363221,363221,True
bronze,transurbano_transacciones,832791,832791,True
bronze,tu_paradas,328,328,True
control,ingest_log,9,9,True
gold,dim_estacion,468,468,True
gold,dim_fecha,365,365,True
gold,dim_sistema,4,4,True
gold,dim_tiempo,8760,8760,True
gold,dim_usuario,70380,70380,True
gold,dim_zona,26,26,True
gold,fct_abordaje,1647569,1647569,True
gold,fct_padron_diario,8612,8612,True
gold,fct_trayecto_metroriel,295511,295511,True
silver,cat_usuarios_aerometro,14496,14496,True
silver,cat_usuarios_metroriel,22885,22885,True
silver,cat_usuarios_transurbano,36567,36567,True
silver,cdc_operaciones,31050,31050,True
silver,festivos_gt,13,13,True
silver,padron_resumen_cdc,1,1,True
silver,padron_resumen_por_operador,3,3,True
silver,padron_transmetro_vigente,17432,17432,True
silver,padron_vigente,22462,22462,True
silver,silver_abordajes,1647569,1647569,True
silver,silver_calidad_resumen,6,6,True
silver,silver_cuarentena,12336,12336,True
silver,silver_estaciones,468,468,True
silver,silver_eventos_evaluados,1698666,1698666,True
silver,silver_identidad_diagnostico,4,4,True
silver,silver_identidad_usuario,117205,117205,True
silver,silver_padron_scd2,28421,28421,True
silver,silver_transacciones_rechazadas_tu,41390,41390,True
silver,silver_trayectos_metroriel,295511,295511,True
silver,silver_zona,26,26,True
silver,silver_zona_mapeo,60,60,True
silver,sistemas,4,4,True
silver,territorios,26,26,True
silver,usuarios_unicos_por_operador,4,4,True
staging,stg_am_boardings,203554,203554,True
staging,stg_am_estaciones,14,14,True
staging,stg_cdc_padron,31050,31050,True
staging,stg_mr_estaciones,22,22,True
staging,stg_mr_viajes,299100,299100,True
staging,stg_tm_estaciones,104,104,True
staging,stg_tm_validaciones,363221,363221,True
staging,stg_tu_paradas,328,328,True
staging,stg_tu_transacciones,832791,832791,True
