capa,tabla,filas
bronze,aerometro_boardings,203554
bronze,am_estaciones,14
bronze,cdc_padron_usuarios,31050
bronze,metroriel_viajes,299100
bronze,mr_estaciones,22
bronze,tm_estaciones,104
bronze,transmetro_validaciones,363221
bronze,transurbano_transacciones,832791
bronze,tu_paradas,328
control,ingest_log,9
gold,dim_estacion,468
gold,dim_fecha,365
gold,dim_sistema,4
gold,dim_tiempo,8760
gold,dim_usuario,70380
gold,dim_zona,26
gold,fct_abordaje,1647569
gold,fct_padron_diario,8612
gold,fct_trayecto_metroriel,295511
silver,cat_usuarios_aerometro,14496
silver,cat_usuarios_metroriel,22885
silver,cat_usuarios_transurbano,36567
silver,cdc_operaciones,31050
silver,festivos_gt,13
silver,padron_resumen_cdc,1
silver,padron_resumen_por_operador,3
silver,padron_transmetro_vigente,17432
silver,padron_vigente,22462
silver,silver_abordajes,1647569
silver,silver_calidad_resumen,6
silver,silver_cuarentena,12336
silver,silver_estaciones,468
silver,silver_eventos_evaluados,1698666
silver,silver_identidad_diagnostico,4
silver,silver_identidad_usuario,117205
silver,silver_padron_scd2,28421
silver,silver_transacciones_rechazadas_tu,41390
silver,silver_trayectos_metroriel,295511
silver,silver_zona,26
silver,silver_zona_mapeo,60
silver,sistemas,4
silver,territorios,26
silver,usuarios_unicos_por_operador,4
staging,stg_am_boardings,203554
staging,stg_am_estaciones,14
staging,stg_cdc_padron,31050
staging,stg_mr_estaciones,22
staging,stg_mr_viajes,299100
staging,stg_tm_estaciones,104
staging,stg_tm_validaciones,363221
staging,stg_tu_paradas,328
staging,stg_tu_transacciones,832791
